sentence,sentiment,confidence
yanuar klaster substansi lain fraksi pkb mengusulkan hal pasal ayat dan ayat soal asas kami mengusulkan asas partisipatif berkaitan dgn prinsip pengembangan amp pembangunan ikn kami mengusulkan ada prinsip kearifan lokal,Negative,"[0.00011338014883222058, 0.999290943145752, 0.0005956389359198511]"
yanuar klaster substansi lainlain fraksi pkb mengusulkan hal pasal ayat dan ayat soal asas kami mengusulkan asas partisipatif berkaitan dengan prinsip pengembangan dan pembangunan ikn kami mengusulkan ada prinsip kearifan lokal,Negative,"[0.0001400539476890117, 0.9991400241851807, 0.0007198569946922362]"
ikn hs bebas dr kadrun sapi amp kampret habitat mrk di bonbin kitaran puncak brsm slengean bersihkan wil ikn dr hti pks fpi srt penceramah busuk spt tomat ah rsc bsb gym siaw amp kimpoy daster pea jgn kasih t wl sujud dg nb ccbul bbnci,Negative,"[2.9120692488504574e-05, 0.9990988969802856, 0.0008719328325241804]"
lebih baik nama ibu kota negara adalah penajam sebagai penghormatan atas kearifan lokal mau jadi ibu kota negara yang baru,Positive,"[7.358201401075348e-05, 0.00032036053016781807, 0.9996060729026794]"
manusia ga ada gunanya isu bubarkan densus udah kelar apa ganti tema nya ibu kota baru emang bikin ibukota baru ga ada persetujuan dari kamu fadli zoong dan temen dpr mu enak makan gaji buta dari pajak rakyat,Negative,"[8.722487837076187e-05, 0.9990611672401428, 0.0008516747038811445]"
indonesia maju cerdas kokoh bersatu makmur sejahtera di dalam nkri tercinta tahun semoga bisa dilaksanakan groundbreaking rencana ikn yg baru era globalisasi semoga makin memperkokoh persatuan bangsankri persatuan adalah kekuatan bangsa era kompetisi global,Positive,"[8.462010737275705e-05, 0.0005705664516426623, 0.9993447661399841]"
lokasi ikn ini murni lahan hti pt ihm yang seluas ribu ha lebih nggak ada tanah warga yang di ambil,Negative,"[0.003264028113335371, 0.9126091003417969, 0.084126777946949]"
lumayan nih buat ngedanain ikn nusantara duit nya diincer radikal radikul nya terus dijual malu ngga yaaaa,Negative,"[0.001390197779983282, 0.9829525947570801, 0.01565716415643692]"
nussa anta ara film yg di tuding radikal sm buzzerrp padahal kan asal katanya dr nusantara oh iya bu itup royek ikn skrg statusnya gmn sih lbh besar manfaat kan ato lbh byk kerugian jika diteruskan,Negative,"[0.00021343614207580686, 0.9971168041229248, 0.0026697423309087753]"
misalnya nama ibu kota adalah penajam pun tidak madalah sbg penghormatan pada wilayah tersebut mau jadi tempat ibu kota negara hormati hargai kearifan lokal,Positive,"[6.730715540470555e-05, 0.0006115328869782388, 0.9993212223052979]"
ibu kota aman di kalimantan bebas dari orang radikal ibu kota baru negara aman emangnya orang radikal nanti berani demo di kalimantan,Negative,"[0.0002639597514644265, 0.9901154041290283, 0.009620746597647667]"
baguslah jika ikn diberi nama seorang presiden ketimbang diberi nama fadli zonk prestasinya melonjak saat bergabung dg radikal yaitu nyinyir layak disebut raja nyinyir,Negative,"[6.31811999483034e-05, 0.9961379170417786, 0.003798868739977479]"
ikn itu haram untuk sampah busuk rizal lamli dan partai pendukung teroris,Negative,"[0.0001558302465127781, 0.9994388222694397, 0.0004053202283103019]"
kalau ikn namanya nusantara apa gak identik dengan kartun taliban nusa rara elite politik kita disusupi pemikiran radikal,Negative,"[7.741953595541418e-05, 0.99957674741745, 0.00034576296457089484]"
nah kan yang alergi nusantara dari dulu cuma pengasong khilafah dan pengasong indonesia bersyariah jika ikn baru tumbuh subur islam nusantara adalah sebuah kemutlakan karena lebih inklusif moderat toleran islam radikal jangan ngarep hidup di ikn baru,Negative,"[6.531424151035026e-05, 0.9997202754020691, 0.00021436209499370307]"
ohh orang ini yg waktu itu bilang densus dibubarin aja yaa btw tapi ada benernya usulan aki jongg moso ibu kota baru dinamain atau,Negative,"[0.00019092690490651876, 0.9962103366851807, 0.003598685609176755]"
pendukung taliban afghanistan sebaiknya bicarakan perilaku ini sebelum ngurusi ikn baru kelompok tidak manusiawi kok punya banyak fans di sini,Positive,"[0.00012716060155071318, 0.0006386900204233825, 0.9992341995239258]"
pertanyaan anda ini rada tendensius tp baiklah intinya kawasan ikn baru tdk ada ruang dn waktu buat kelompok radikal intoleran aka trans nasional yg itu mungkin sj anda bela jd nusantara tdk sj menggambarkan gugusan pulau tapi jg keragaman budaya,Negative,"[0.00015712290769442916, 0.9962760210037231, 0.0035668350756168365]"
rt bang ferdinand adalah penjaga nusantara amp penjaga pancasila bang ferdinand adalah pembela pemerintah ri malah dipenjarakan oleh pemuda indonesia komite nasional ormas reaksioner lawan virus radikal kekerasan yg menolak pancasila ibu kota negara di kaltim bernama nusantara,Negative,"[2.948870496766176e-05, 0.9993927478790283, 0.0005776386824436486]"
rt kalau ikn namanya nusantara apa gak identik dengan kartun taliban nusa rara elite politik kita disusupi pemikiran radikal,Negative,"[8.185169281205162e-05, 0.9996625185012817, 0.0002556132967583835]"
rt misalnya nama ibu kota adalah penajam pun tidak madalah sbg penghormatan pada wilayah tersebut mau jadi tempat ibu kota negara hormati hargai kearifan lokal,Positive,"[6.945403583813459e-05, 0.0005093400832265615, 0.999421238899231]"
yg pindah hanya pegawai kementrian instansi pemerintah yg vertikal dpr ri dpd mpr kedutaan besar negara sahabat rkaya jakarta mah tdk pindah yg pindah hanya ibu kota negara ikn seluruh dunia ibukota negara hanya khusus kota pemerintan bukan kota dagang kota industri,Negative,"[0.00011952830391237512, 0.9996732473373413, 0.00020726157526951283]"
ayo sekalian dilaporkan juga ke kejaksaan ri ternyata begini status dki jakarta usai uu ikn diketok,Positive,"[0.00016029352264013141, 0.0005608413484878838, 0.9992788434028625]"
yg pindah hanya pegawai kementrian instansi pemerintah yg vertikal dpr ri dpd mpr kedutaan besar negara sahabat rakyat jakarta mah tdk pindah yg pindah hanya ibu kota negara ikn seluruh dunia ibukota negara hanya khusus kota pemerintan bukan kota dagang kota industri,Negative,"[0.0001084544783225283, 0.9996852874755859, 0.0002062352141365409]"
pekaes kan hanya sebatas partai sarang hti wajar kalau menolak iknmana mungkin otaknya mampu berpikir kedepan,Negative,"[0.00011457466462161392, 0.9995973706245422, 0.00028803080203942955]"
yg pindah bukan jkt tapi ibu kota negara rakyat tdk pindah hnya pegawai negeri yg berkantor di kementrian anggota dpr anggota dpd dan mpr kedutaan besar negara negara asing hampir seluruh dunia ibukota negara bukan pusat industri dan perdagangan hanya pusat pemerintahan,Negative,"[0.00012736579810734838, 0.9990910291671753, 0.0007816542638465762]"
yg nolak pindah ke ikn itu hanya kadrun hti fpi pks dan bani peminum kencing ontah,Negative,"[4.7008023102534935e-05, 0.999751627445221, 0.00020145041344221681]"
banyak semua yg tidak sesuai pks sudah benar salah nya kmrn hnw minta referendum ikn itu aja ud ga bener apalagi yg lain mereka antek hti anti pemerintah,Negative,"[4.812938641407527e-05, 0.9997496008872986, 0.0002022729895543307]"
berapa porsen sih konstituen pks loe nolak bodoh amat semoga di ibu kota baru nanti ga ada kelompok radikalis yg mengganggu ramyat dan kerja pemerintah amin,Negative,"[9.002006845548749e-05, 0.999476969242096, 0.0004329532675910741]"
usul sekalian laporkan ke kejaksaan ri ternyata begini status dki jakarta usai uu ikn diketok,Positive,"[0.00017556390957906842, 0.00022569439897779375, 0.9995988011360168]"
tan sebuah kearifan lokal kudu kita junjung tinggi sebagai apresiasi kita dan kepada kebudayaan kita yang beragam ini bukan perihal personaliti dan penghormatan yang agung karena telah ditunjuk sebagai ibukota ikn paserutara north paser,Positive,"[6.35667092865333e-05, 0.0003360231057740748, 0.9996004700660706]"
habis tidak setuju uu ikn pasti pks dibilang radikal,Negative,"[0.00013234541984274983, 0.9996514320373535, 0.0002161195588996634]"
level presiden jokowi jauh di atas harto dan matahir buat ikn bubarin hti dan fpi langkah yg brilian dan penuh resiko tapi tak takut presiden terbaik indonesia setelah bung karno,Negative,"[0.13725431263446808, 0.8510286211967468, 0.011717031709849834]"
saya orang sunda menurut saya sikap kejati jabar sudah tepat yang begini soal receh jangan jadi orang yg over reaktif lebih baik fokus tanggapi soal ikn yg akan membuat hutang membengkak dan aset negara dilego dan siapa yg paling banyak diuntungkan,Negative,"[7.725622708676383e-05, 0.9990523457527161, 0.0008704100619070232]"
sepertinya semua kegaduhan yg selama ini terjadi teroris radikalisme korupsi utang ugalan penangkapan ulama bacot buzzer laknat suntik vaksin amp pcr impor bumn hancur dan kkn kaesang gibran bermuara pada satu kebijakan tragis yg dipaksakan yaitu ikn baru,Negative,"[3.6081164580537006e-05, 0.999535322189331, 0.0004286416224204004]"
setuju pks bikin referendum nanti pilihannya ikn nusantara no or noyg milih biar anggota pks hti dan fpi,Negative,"[7.851395639590919e-05, 0.9995710253715515, 0.0003504972846712917]"
baru ngeh knp kadrun menolak ikn baru jamin dah mereka takut ma adat yg ginian laskar yg oake sorban putih teriak takbir kemarin yg ormasnya udah dibubarin krn pengacara nya ternyata teroris pasti ga berani kilapah juga pasti ciut karena allah mereka hanya dibibir saja,Negative,"[4.2674226278904825e-05, 0.999575674533844, 0.0003817100659944117]"
ahok piihan tepat sbg pemimpin otoritas ibu kota negara ikn nusantara yg baru di kalimantan kasus hukum yg diproseskan kpd ahok dulu itu adlh terkesan dipaksakan amp dikecam seluruh ummat manusia dari semua negara di dunia kecuali kadrun isis taliban amp khuwarij lainnya,Positive,"[8.702172635821626e-05, 0.00043433651444502175, 0.9994786381721497]"
bagaimana sikap pks kepada fpi hti amp kelompok radikal lainnya sudah kita tahu siapa yang menolak dengan alasan sporadis dan absurd terkait uu ikn amp ruu tpks kitapun tahu mari gemakan,Negative,"[5.981067806715146e-05, 0.9993925094604492, 0.0005476127262227237]"
heroik amp bersejarah oalah mus mus perlu anda ketahui knp pks dan yg sewaktu dgnny menolak ikn yg baru krn mrk dan gerombolan islam radikal seperti kalian tdk bisa berbuat banyak dikaltim sana yg jelas islam radikal seperti kalian mmg tdk setiju,Negative,"[0.00010554149048402905, 0.9996310472488403, 0.00026339705800637603]"
ikn baru merupakan tonggak bagi indonesia maju dan modern semoga wilayah ikn baru akan bersih dari kkn orangkelompok yang kemaruk orangkelompok radikal ekstrim kanan maupun kiri birokrasi di ikn baru memiliki spirit yang melayani sebagaimana harapan rakyat,Positive,"[0.003487670561298728, 0.21511031687259674, 0.7814019918441772]"
ini niih partai teroris yg sedang gencar menolak ruu ikn jangan biarkan partai seperti ini merusak bumi nusantara kita sudah jelas paham ikhwanul muslimin ini merupakan paham yg sifatnya destruktif bahkan di arab saudi yg tak usah diragukan keislamannya pun menolak paham ini,Negative,"[3.432660014368594e-05, 0.9996392726898193, 0.0003264018741901964]"
kasian ini partai kandangnya mau di pindahkan selamat berdemo para kadrun ibu kota negara baru indonesia tambah maju amin bebas dari polusi macet kadrun intoleransi dan radikalisme kasian besuk gak usah pindah kantor pusat yaa di jakarta aja,Negative,"[8.875819912645966e-05, 0.9988980293273926, 0.0010132445022463799]"
kasus itu kasus yg dinaikkan untuk menutupi pelaporan karena ditutupi pakai radikalisme kemarin berhasil tp sejak menwig jualan itu tiap minggu jadi g bgt ngefek ditutup pakai kasus narkoy artis masih g mempan akhirnya ya kasus itu dan uu stripping ikn lah jawabnya,Positive,"[9.970390237867832e-05, 0.0007555916672572494, 0.9991446733474731]"
kejati umpan lambung disundul alteria digoreng ridwan kamil dan gooollll uu pindah ibukota akhirnya sang bohir sumringah harga tanah sekitar ikn meroket tajam naiknya cincai cincai lah papa senang semua kebagian mumpung berkuasa suara rakyat milik cukong kan taik kek gitu,Positive,"[8.949336915975437e-05, 0.00045365275582298636, 0.9994568228721619]"
konfirmasi dan perintah langsung dari bapak presiden beliau mengatakan ibu kota negara ini nusantara suharso monoarfa menteri perencanaan pembangunan nasional kenapa tidak memakai nama lokal menghormati kearifan lokal,Positive,"[8.289248216897249e-05, 0.00034506432712078094, 0.9995720982551575]"
koq orang ky gini knp gk ditangkap bebas umbar hoaxs amp provokasi ustad hti alfian tanjung pemindahan ibukota dari jkt ke kaltim itu program pki tahun ikn nusantara akan dijual kepada cina,Negative,"[2.8634536647587083e-05, 0.9993293285369873, 0.0006420864374376833]"
rt usul sekalian laporkan ke kejaksaan ri ternyata begini status dki jakarta usai uu ikn diketok,Positive,"[0.00014976374222896993, 0.00025241789990104735, 0.9995978474617004]"
rt ini niih partai teroris yg sedang gencar menolak ruu ikn jangan biarkan partai seperti ini merusak bumi nusantara kita sudah jelas paham ikhwanul muslimin ini merupakan paham yg sifatnya destruktif bahkan di arab saudi yg tak usah diragukan keislamannya pun menolak paham ini,Negative,"[3.662101516965777e-05, 0.9996579885482788, 0.0003054550907108933]"
rt koq orang ky gini knp gk ditangkap bebas umbar hoaxs amp provokasi ustad hti alfian tanjung pemindahan ibukota dari jkt ke kaltim itu program pki tahun ikn nusantara akan dijual kepada cina,Negative,"[3.0297947887447663e-05, 0.9993534684181213, 0.0006163149955682456]"
rt kasus itu kasus yg dinaikkan untuk menutupi pelaporan karena ditutupi pakai radikalisme kemarin berhasil tp sejak menwig jualan itu tiap minggu jadi g bgt ngefek ditutup pakai kasus narkoy artis masih g mempan akhirnya ya kasus itu dan uu stripping ikn lah jawabnya,Positive,"[0.0001216609962284565, 0.0008671156829223037, 0.9990111589431763]"
rt konfirmasi dan perintah langsung dari bapak presiden beliau mengatakan ibu kota negara ini nusantara suharso monoarfa menteri perencanaan pembangunan nasional kenapa tidak memakai nama lokal menghormati kearifan lokal,Positive,"[9.358478564536199e-05, 0.00035439454950392246, 0.9995519518852234]"
rt yg pindah hanya pegawai kementrian instansi pemerintah yg vertikal dpr ri dpd mpr kedutaan besar negara sahabat rkaya jakarta mah tdk pindah yg pindah hanya ibu kota negara ikn seluruh dunia ibukota negara hanya khusus kota pemerintan bukan kota dagang kota industri,Negative,"[0.00013038200268056244, 0.9996594190597534, 0.00021021980501245707]"
rt yg pindah hanya pegawai kementrian instansi pemerintah yg vertikal dpr ri dpd mpr kedutaan besar negara sahabat rakyat jakarta mah tdk pindah yg pindah hanya ibu kota negara ikn seluruh dunia ibukota negara hanya khusus kota pemerintan bukan kota dagang kota industri,Negative,"[0.00012150534166721627, 0.9996931552886963, 0.00018526821804698557]"
rt kejati umpan lambung disundul alteria digoreng ridwan kamil dan gooollll uu pindah ibukota akhirnya sang bohir sumringah harga tanah sekitar ikn meroket tajam naiknya cincai cincai lah papa senang semua kebagian mumpung berkuasa suara rakyat milik cukong kan taik kek gitu,Positive,"[0.00011595594696700573, 0.0005813699099235237, 0.9993026256561279]"
rt yg bisa buat salah paham itu menolak omnibuslaw menolak uu pks menolak ikn menolak nama ikn mendukung taliban,Negative,"[6.462718738475814e-05, 0.9996128678321838, 0.0003225936961825937]"
rt habis tidak setuju uu ikn pasti pks dibilang radikal,Negative,"[0.0001107326170313172, 0.9997116923332214, 0.00017753304564394057]"
rt ahok piihan tepat sbg pemimpin otoritas ibu kota negara ikn nusantara yg baru di kalimantan kasus hukum yg diproseskan kpd ahok dulu itu adlh terkesan dipaksakan amp dikecam seluruh ummat manusia dari semua negara di dunia kecuali kadrun isis taliban amp khuwarij lainnya,Positive,"[8.674544369569048e-05, 0.0004512254672590643, 0.9994620680809021]"
saat rakyat sedang menderita disibukkan dengan radikal para korban pelecehan seksual sedang mencari haknya yang tak dilindungi oleh negara sedangkan para wakil rakyat sedang sibuk mengesahkan uu ikn anggarannya inget yang harga mati cuma nkri kalau hati nurani,Negative,"[3.725718124769628e-05, 0.9985746145248413, 0.0013881013728678226]"
saya malah berpikiran jangan ibu kota baru akan menjadi ladang perang jihad pisabilillah nya rakyat indonesia,Positive,"[0.006158721633255482, 0.2155240774154663, 0.7783172130584717]"
vaksin pcr ikn penajam paser utara es doger m batu bara ott kpk pt gali lobang pinjam uang bayar hutang penistaan agama pecat kejati tak boleh bahasa sunda dll pening,Negative,"[2.8941756681888364e-05, 0.9995658993721008, 0.0004051549476571381]"
belum apa udah mau ngilangin kearifan lokal gimana ntar klo smoga tidak ikn baru jadi beneran,Positive,"[0.0006401868886314332, 0.0011546112364158034, 0.9982051849365234]"
ikn baru tidak butuh rijal ramlihti,Negative,"[0.0001926079421536997, 0.9996029734611511, 0.00020452760509215295]"
biarin aja pak ngga mungkin rk yg dipilih pak krn bermuka muka depan pro pemerintah muka belakang pro gerombolan hti teroris rusak ikn jika dia menjabat bisa ikn penuh dgn gerombolannya idih amit jabang bayi cukup jabar dan dki aja yg sakit,Negative,"[0.0001299448194913566, 0.9992038607597351, 0.0006661593215540051]"
bagi rakyat yg waras bukan kadrun hti teroris ikwanul muslimin amp fpi pasti bahagia menerima dan menyambut ikn nusantara yg menolak itu bangsat ikwanul muslimin kadrun fpi hti dan teroris sprti anda ini bung wahid,Negative,"[5.609105573967099e-05, 0.999517560005188, 0.00042634506826289]"
pks mmg rese ikn pks tolak uud kekerasan seksual pks tolak hti ormas radikal dibubarkan pemerintah pks protes segala kebijakan penguasa semuanya pks tolak hanya satu yg pks setujuh proyek selangkangan poligami pak tak takut menular pak hnw sering gonta ganti lobang,Negative,"[5.161602166481316e-05, 0.9996938705444336, 0.0002544965536799282]"
klau pkshtifpi mau saksikan mandau terbang dayak silahkan merapat ke ikn,Positive,"[0.0001450901327189058, 0.0009154626750387251, 0.9989394545555115]"
yang jelas harapannya gak ada islam khilafah dan islam garis keras di ibu kota baru nusantara nantinya,Positive,"[0.0011783005902543664, 0.00017180360737256706, 0.9986498951911926]"
jihad konstitusi ketika parlemen tindak mengindahkan partispasi publik uu ikn yg tergesa gesa pembuatannya semoga keadilan menemukan jalannya di negeri ini aamiin,Positive,"[0.0001128966105170548, 0.0012882768642157316, 0.9985988736152649]"
covid cuma dijadikan alasan teror kpd rakyat sedang pindah ibu kota butuh dana yg banyklantas yg terdampak ekonomi rakyat dibiarkan covid vs ikn sebenarnya siapa teroris yg sesungguhnya,Negative,"[0.00023867115669418126, 0.9934939742088318, 0.006267381366342306]"
la thd grombolan tdk kredibel kok msh mncoba tunjukkan kearifan lokal sdh jls dulu pernah dikibuli soal uu ormas yg katanya akan segera direvisi kok skr berbaik sangka ikn tdk akn segera dieksekusi pdhl pengesahan yg ngebut sampai bgadang sj mstinya sdh hrs dprtanyakn,Positive,"[0.00010404728527646512, 0.0001756830606609583, 0.9997202754020691]"
wadu kasian tni habis pemerintah dan dpr prioritasnya bukan pemberantasan tpnpb atau teroris tapi hal yg tdk penting ikn org sunda wadu,Negative,"[0.00036040591658093035, 0.9995006322860718, 0.00013896713790018111]"
demokrat gak berkoalisi dengan rakyat terbukti menerima ikn buatan oligarki islamphobia pks memang hebat,Neutral,"[0.9940387010574341, 0.004391829017549753, 0.0015695146284997463]"
masyarakat kaltim saja menolak ikn pindah ke sana patut diduga ada suap pada anggota dewan sayangnya kpk polri kejati mungkin udah dibungkam juga begitu juga ppatk bin dan lainnya juga sami mawon inilah modus kkn zaman now lebih berbahaya dari zaman orba,Negative,"[3.589604239095934e-05, 0.9995707869529724, 0.00039334470056928694]"
jika pemberian nama nusantara sebagai ikn dan gak melibatkan masyarakat sekitar lokasi ibukota baru maka itu artinya si pemberi nama tidak menganggap adanya kearifan lokal budaya masyarakat suku dayak,Positive,"[0.0037837016861885786, 0.0006636991165578365, 0.9955525994300842]"
yg dipindahkan bkn ikn tapi kantor pemerintahanx kemetrian yg dipindahkan ke debotabek di jkrt cukup sekneg kemenlu kemendagri pertahanan keuangan kejaksaan n perhubungan,Negative,"[8.41016008052975e-05, 0.9996919631958008, 0.00022398345754481852]"
mslah kemacetan kan ngk perlu pindah ikn pindahin aja kantor kementrian ke debotabek di jkrt mah cukup sekneg kemendagri kemenlu pertahanan keuangan kejaksaan n perhubungan kan asn banyak yg domisili di debotabek pr asn pun senang ngk cape di perjlnan,Negative,"[6.904837937327102e-05, 0.9997279047966003, 0.00020311215484980494]"
adapun lahan ikn yang akan dibangun tidak lain merupakan lahanlahan perusahaan sawit hti hutan tanaman industri serta tambang yang merupakan milik dari para oligarkioligarki yang dengan sengaja merusak hutan dan lahan,Positive,"[0.00037406315095722675, 0.00035177989047951996, 0.9992741942405701]"
dalam rapat ruu ibu kota baru hanya pks yang menolak tinggal dei parpol nu radikal teh,Negative,"[0.00014762887440156192, 0.9997515082359314, 0.00010085250687552616]"
garagara pks menolak uu ikn warga kolam gaunkan tagar bubarkan pks sampesampae jejak digital pks di tampilkan sebagai partai pendukung taliban dan islam radikal giliran partai pdip yg didalamnya sarang koruptor terutama korupsi bansos kalian diam wajar dong pks ambil sikap,Negative,"[7.094153261277825e-05, 0.9994252920150757, 0.0005038130329921842]"
ibu kota baru cina nusantara gate,Negative,"[0.00014303317584563047, 0.9995425939559937, 0.0003144181682728231]"
ini kolerasi din syamsuddin antek teroris isis membenci uu ikn,Negative,"[0.00015417393296957016, 0.9995312690734863, 0.0003145054797641933]"
kader amp cemen beraninya teriak tolak ikn di jakarta coba kalian ke kaltim lalu bilang menolak ikn di bangun di sini gw jamin kalian bakal dirujak orang dayak apalagi model fpi amp hti gak bakalan laku di kaltim,Negative,"[4.2571202357066795e-05, 0.9992586970329285, 0.0006988031091168523]"
namain ibu kota baru jihadabad kota jihad,Positive,"[0.00012053023237967864, 0.00024734262842684984, 0.9996321201324463]"
rt woyyy drun jangan coba demo silit ke ikn nusantara karna nasbung model fpi hti akan digilasdi mandau manyau orang dayak disana bro,Positive,"[0.00014276239380706102, 0.00023455885821022093, 0.9996227025985718]"
rt ruu ikn sdh menjadi uu hanya pks yg menolak itu hal yg wajar pks kan satunya parpol pendukung hti fpi,Negative,"[0.0001683269365457818, 0.9996542930603027, 0.00017728345119394362]"
rt adapun lahan ikn yang akan dibangun tidak lain merupakan lahanlahan perusahaan sawit hti hutan tanaman industri serta tambang yang merupakan milik dari para oligarkioligarki yang dengan sengaja merusak hutan dan lahan,Positive,"[0.00028409971855580807, 0.0003564759681466967, 0.9993594288825989]"
rt si telor busuk nongol lagi kawanan hti amp pks matian menolak ibu kota baru,Negative,"[9.760009561432526e-05, 0.9997667670249939, 0.000135589754790999]"
rt garagara pks menolak uu ikn warga kolam gaunkan tagar bubarkan pks sampesampae jejak digital pks di tampilkan sebagai partai pendukung taliban dan islam radikal giliran partai pdip yg didalamnya sarang koruptor terutama korupsi bansos kalian diam wajar dong pks ambil sikap,Negative,"[7.590604218421504e-05, 0.9995691180229187, 0.0003549274115357548]"
rt ikn baru tidak butuh rijal ramlihti,Negative,"[0.0014111446216702461, 0.9983941912651062, 0.00019460426119621843]"
rt bagi rakyat yg waras bukan kadrun hti teroris ikwanul muslimin amp fpi pasti bahagia menerima dan menyambut ikn nusantara yg menolak itu bangsat ikwanul muslimin kadrun fpi hti dan teroris sprti anda ini bung wahid,Negative,"[6.0147587646497414e-05, 0.9995173215866089, 0.0004225610173307359]"
rt namain ibu kota baru jihadabad kota jihad,Positive,"[0.00011540146078914404, 0.0001865922677097842, 0.9996980428695679]"
rt ibu kota baru cina nusantara gate,Negative,"[0.00011617333075264469, 0.9995437264442444, 0.00034007499925792217]"
rt covid cuma dijadikan alasan teror kpd rakyat sedang pindah ibu kota butuh dana yg banyklantas yg terdampak ekonomi rakyat dibiarkan covid vs ikn sebenarnya siapa teroris yg sesungguhnya,Negative,"[0.00022278493270277977, 0.9961612224578857, 0.003615973750129342]"
ruu ikn sdh menjadi uu hanya pks yg menolak itu hal yg wajar pks kan satunya parpol pendukung hti fpi,Negative,"[0.0001542952231829986, 0.9996453523635864, 0.00020037770445924252]"
sedang penggiringan isu hashtag urgensi soal proses pemindahan ibu kota negara hanya x jam laporan dugaan korupsi anak jokowi dodo penjemputan paksa polisi pada aktivis ham haris azhar dan fathia dengan dalih kami pancasila kalian radikal,Negative,"[4.5009521272731945e-05, 0.9995794892311096, 0.0003754789649974555]"
si telor busuk nongol lagi kawanan hti amp pks matian menolak ibu kota baru,Negative,"[5.619142029900104e-05, 0.9997640252113342, 0.00017983774887397885]"
terkait pks menolak pemindahan ibu kota negara ikn tagar menjadi trending topic warganet geram bubarkan seperti fpi dan hti lewat online,Negative,"[0.00023017264902591705, 0.9996228218078613, 0.0001468785631004721]"
woyyy drun jangan coba demo silit ke ikn nusantara karna laskar nasbung model fpi hti akan digilasdi mandau manyau orang dayak disana,Positive,"[0.00023781311756465584, 0.0003645599936135113, 0.9993976354598999]"
woyyy drun jangan coba demo silit ke ikn nusantara karna nasbung model fpi hti akan digilasdi mandau manyau orang dayak disana bro,Positive,"[0.00011641368473647162, 0.00020819588098675013, 0.9996753931045532]"
pks mau bilang tergesagesa atau apapun kalimatnyapemindahan ikn baru tetap di jalankanbu novi klo bcr jgn pakai bawah nama rakyat untk keuntungan pksrakyat sdh tdk percaya pkspks politik identitas agama yg mengandalkan para kaum imigran arabyaman yg sifatnya radikalis,Negative,"[0.0005846959538757801, 0.9984070658683777, 0.0010082428343594074]"
